Node_BOS/FER;;;;;;;;;
;;;;;;;;;
INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable1/0-downstream1;;37;32,08;0,15;14,1;78,95;9;0;0
Integrated-Cable1/0-downstream0;;37;37,26;1,11;28,12;99,2;631;544;2720
Integrated-Cable1/0-downstream3;;37;35,28;0,31;15,24;88,44;39;1;5
Integrated-Cable1/0-downstream2;;37;36,21;0,14;16,26;95,56;99;15;75
;;;;;;;;;
;;;;;;;;;
Node_CDL/GOI;;;;;;;;;
;;;;;;;;;
INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable2/1-downstream3;;37;16,28;0,01;2,81;30,4;0;0;0
Integrated-Cable2/1-downstream2;;37;6,3;0;1,15;14,2;0;0;0
Integrated-Cable2/1-downstream1;;37;13,22;0,01;3,73;30,85;0;0;0
Integrated-Cable2/1-downstream0;;37;14,1;0,01;4,25;30,39;0;0;0
;;;;;;;;;
;;;;;;;;;
Node_IND/CEN;;;;;;;;;
;;;;;;;;;
INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable1/0-downstream1;;37;19,16;0,04;6,6;44,98;0;0;0
Integrated-Cable1/0-downstream0;;37;36,75;1,07;22,59;98,39;342;87;435
Integrated-Cable1/0-downstream3;;37;29,14;0,11;11,25;68,44;0;0;0
Integrated-Cable1/0-downstream2;;37;21,29;0,03;7,41;47,14;0;0;0
;;;;;;;;;
;;;;;;;;;
Node_JRE/MAT;;;;;;;;;
;;;;;;;;;
INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable1/1-downstream0;;37;33,84;0,12;14,67;82,92;17;0;0
Integrated-Cable1/1-downstream1;;37;17,76;0,04;5,39;42,14;0;0;0
Integrated-Cable1/1-downstream2;;37;18,21;0,04;6,3;40,29;0;0;0
Integrated-Cable1/1-downstream3;;37;18,89;0,01;5,46;39,49;0;0;0
;;;;;;;;;
;;;;;;;;;
Node_PAR/AERO;;;;;;;;;
;;;;;;;;;
INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable2/0-downstream2;;37;24,92;0,01;7,97;53,66;0;0;0
Integrated-Cable2/0-downstream3;;37;36,71;0,98;23,36;98,93;358;148;740
Integrated-Cable2/0-downstream0;;37;36,8;1,62;28,49;99,33;668;562;2810
Integrated-Cable2/0-downstream1;;37;29,89;0,09;12,67;72,86;1;0;0
;;;;;;;;;
;;;;;;;;;
Node_ROS/MIR;;;;;;;;;
;;;;;;;;;
INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable1/1-downstream0;;37;36,68;0,75;20,96;98,25;258;55;275
Integrated-Cable1/1-downstream1;;37;36,76;0,35;22,82;98,8;355;121;605
Integrated-Cable1/1-downstream2;;37;36,13;0,24;16,98;93,64;81;5;25
Integrated-Cable1/1-downstream3;;37;36,72;0,8;18,99;96,47;176;23;115
;;;;;;;;;
;;;;;;;;;
Node_STH/HEAD;;;;;;;;;
;;;;;;;;;
INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable2/1-downstream3;;37;32,66;0,11;13,49;74,5;4;0;0
Integrated-Cable2/1-downstream2;;37;21,91;0,02;7,7;50,69;0;0;0
Integrated-Cable2/1-downstream1;;37;23,11;0,02;9,01;57,3;0;0;0
Integrated-Cable2/1-downstream0;;37;36,89;0,7;22,28;98,26;296;86;430
;;;;;;;;;
;;;;;;;;;
Node_STT/EDU;;;;;;;;;
;;;;;;;;;
INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable2/0-downstream2;;37;32,28;0,04;9,35;69,65;2;0;0
Integrated-Cable2/0-downstream3;;37;35,31;0,05;15,21;89,55;62;1;5
Integrated-Cable2/0-downstream0;;37;36,61;1,1;24,64;98,84;462;246;1230
Integrated-Cable2/0-downstream1;;37;33,71;0,07;11,26;70,13;3;0;0
